nome,preco,ano,km,vendedor,localização,link,historico,vistoria,marca,motor
Toyota Corolla 2.0 Xei Dynamic Force Flex Aut. 4p,127500.0,2023,41000,Vendedor indepedente,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3827772277-toyota-corolla-20-xei-dynamic-force-flex-aut-4p-_JM#position%3D15%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,0,0,Toyota,2.0
Chevrolet Montana 1.2 Turbo Flex Lt Manual,122290.0,2023,52139,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5054280264-chevrolet-montana-12-turbo-flex-lt-manual-_JM#position%3D16%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.2
Hyundai Hb20 1.0 Tgdi Flex Vision Automático,80790.0,2022,45548,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3845770961-hyundai-hb20-10-tgdi-flex-vision-automatico-_JM#position%3D17%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Hyundai,1.0
Volkswagen Polo 1.0 170 Tsi Highline Automático,110490.0,2024,8755,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5053464466-volkswagen-polo-10-170-tsi-highline-automatico-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Volkswagen,1.0
Ford Ranger 3.2 Storm 4x4 Cd 20v Diesel 4p Automático,210990.0,2023,11425,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3845245029-ford-ranger-32-storm-4x4-cd-20v-diesel-4p-automatico-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Ford,3.2
Chevrolet Onix 1.0 Flex Plus Lt Manual,73990.0,2023,56189,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3845217555-chevrolet-onix-10-flex-plus-lt-manual-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
Fiat Argo 1.0 Firefly Flex Drive Manual,66790.0,2023,51930,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3844886121-fiat-argo-10-firefly-flex-drive-manual-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Fiat,1.0
Chevrolet Onix 1.0 Flex Plus Lt Manual,76690.0,2022,17547,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5048814928-chevrolet-onix-10-flex-plus-lt-manual-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Chevrolet,1.0
Hyundai Hb20s 1.0 12v Flex Evolution Manual,71590.0,2022,56481,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-3841349057-hyundai-hb20s-10-12v-flex-evolution-manual-_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Hyundai,1.0
Citroën C3 1.0 Firefly Flex Live Pack Manual,65790.0,2023,51389,Por Localiza Seminovos,Feira de Santana,https://carro.mercadolivre.com.br/MLB-5046371704-citroen-c3-10-firefly-flex-live-pack-manual-_JM#position%3D24%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dab8594a9-91f9-416d-aba3-bff6489e5b03,1,0,Citroën,1.0
